NF;Status;Cliente;CNPJ;Cidade;UF;RC;Coordenador;Transportadora;Analista;Data_Faturamento;Data_Agendada;SLA_Dias;Tempo_Parado_Dias;Observacoes
388389;Confirmada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0015;Marcos;JSL;Gabriel;19/05/2026;01/06/2026;13;1;Registro fictício para testes
131244;Aguardando cliente;Obramax;45.991.011/0001-44;São Paulo;SP;RC0014;Marcos;Rodonaves;Gabriel;29/03/2026;31/03/2026;2;0;Registro fictício para testes
781453;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0027;Marcos;Patrus;Gabriel;27/04/2026;10/05/2026;13;4;Registro fictício para testes
543143;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0018;Marcos;Braspress;Bruno;02/05/2026;15/05/2026;13;1;Registro fictício para testes
476417;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0039;Ana;JSL;Amanda;04/04/2026;07/04/2026;3;8;Registro fictício para testes
678856;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0041;Ricardo;Tegma;Gabriel;04/04/2026;07/04/2026;3;3;Registro fictício para testes
338968;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0006;Marcos;JSL;Amanda;17/05/2026;29/05/2026;12;4;Registro fictício para testes
482554;Agendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0024;Ana;Braspress;Bruno;02/03/2026;17/03/2026;15;10;Registro fictício para testes
279451;Crítica;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0047;Marcos;Braspress;Amanda;06/03/2026;18/03/2026;12;6;Registro fictício para testes
684004;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0044;Ana;JSL;Fernanda;02/03/2026;15/03/2026;13;0;Registro fictício para testes
169403;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0037;Ricardo;Tegma;Fernanda;01/04/2026;07/04/2026;6;10;Registro fictício para testes
581141;Agendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0017;Marcos;Braspress;Gabriel;02/04/2026;14/04/2026;12;8;Registro fictício para testes
711878;Reagendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0024;Marcos;Braspress;Gabriel;09/03/2026;17/03/2026;8;7;Registro fictício para testes
214975;Agendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0041;Marcos;Patrus;Gabriel;16/05/2026;31/05/2026;15;1;Registro fictício para testes
590785;Crítica;Carrefour;45.543.915/0001-81;Barueri;SP;RC0017;Ricardo;JSL;Pedro;04/04/2026;15/04/2026;11;10;Registro fictício para testes
772097;Entregue;Obramax;45.991.011/0001-44;São Paulo;SP;RC0008;Ana;Patrus;Fernanda;18/04/2026;02/05/2026;14;7;Registro fictício para testes
898975;Agendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0033;Marcos;Tegma;Gabriel;19/04/2026;29/04/2026;10;9;Registro fictício para testes
899550;Agendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0035;Ricardo;JSL;Gabriel;03/05/2026;10/05/2026;7;5;Registro fictício para testes
480612;Em transporte;Carrefour;45.543.915/0001-81;Barueri;SP;RC0016;Marcos;Braspress;Gabriel;20/05/2026;23/05/2026;3;1;Registro fictício para testes
172574;Crítica;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0050;Marcos;Braspress;Amanda;21/03/2026;05/04/2026;15;8;Registro fictício para testes
736059;Reagendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0014;Ricardo;Braspress;Bruno;19/04/2026;29/04/2026;10;6;Registro fictício para testes
573417;Aguardando cliente;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0016;Marcos;JSL;Bruno;27/03/2026;06/04/2026;10;0;Registro fictício para testes
717024;Confirmada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0001;Marcos;JSL;Fernanda;13/03/2026;18/03/2026;5;1;Registro fictício para testes
639131;Confirmada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0018;Ricardo;Patrus;Fernanda;10/04/2026;13/04/2026;3;8;Registro fictício para testes
595631;Confirmada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0031;Ana;Braspress;Pedro;10/03/2026;21/03/2026;11;1;Registro fictício para testes
531071;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0047;Marcos;JSL;Pedro;07/04/2026;15/04/2026;8;6;Registro fictício para testes
300896;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0035;Ana;Braspress;Amanda;09/05/2026;14/05/2026;5;2;Registro fictício para testes
179046;Atrasada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0036;Marcos;JSL;Gabriel;24/03/2026;29/03/2026;5;0;Registro fictício para testes
526156;Atrasada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0031;Marcos;Patrus;Pedro;22/04/2026;26/04/2026;4;2;Registro fictício para testes
378085;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0019;Ana;Rodonaves;Amanda;22/05/2026;30/05/2026;8;2;Registro fictício para testes
161324;Crítica;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0004;Ricardo;Tegma;Pedro;15/04/2026;20/04/2026;5;0;Registro fictício para testes
994141;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0011;Marcos;Rodonaves;Pedro;22/03/2026;01/04/2026;10;2;Registro fictício para testes
808011;Confirmada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0026;Marcos;Rodonaves;Fernanda;07/03/2026;10/03/2026;3;9;Registro fictício para testes
